Datetime,label,clean_text
2022-12-20 09:12:36+00:00,negative,memberi tahu kepala tadi sok edgy koar koar kaya orang kena cacar monyet
2022-12-20 08:42:22+00:00,negative,sumpah sendiri out context tetap keliatan edgy jatohnya orang tolol heran sih nama eximer aja udah kaya cacar monyet gua maklumi dah
2022-12-16 13:26:28+00:00,negative,temanku gangguan jiwa sih engga kena cacar monyet
2022-12-02 13:07:01+00:00,negative,kanker anus menghinggapi hiv aids menggerogoti cacar monyet memutus bagian bagian tubuh borok luka selebar badan gak sembuh sembuh percayalah tak aktivis ham mensupport you live wrong and die suffer
2022-11-26 14:26:09+00:00,positive,haha susah banget ngilangin trauma nya bojo ngajak anak playground kemaren lebaran anak aku ajak ayahnya main playground terus besoknya sakit cacar monyet flu singapura atahu akepalah sampek sekarang kapok banget ayah nya pan kasian anak nye dirumah mulu
2022-11-25 17:11:10+00:00,positive,pas breakout mukamu knapa kena cacar monyet ucap ibu2 tingginya semeter pas diajak main teman alah namaku paling duitnya cmn serebu ucap ponakan bupati sampe skrg aku mau liat mukanya
2022-11-23 08:32:43+00:00,positive,cacar monyet colorful dong mba
2022-11-20 13:04:27+00:00,positive,faktanya lgbt membawa penyakit hiv aids pertama dunia laki gay cacar monyet kaum lgbt mau ngebantah maho
2022-11-14 04:26:50+00:00,negative,monkey pox cacar monyet chicken pox cacar air indonesia explain
2022-11-14 01:13:42+00:00,positive,bawa menuju lebih baik haram haram agama sisi kesehatan cacar monyet salah satu akibatnya kan
2022-11-14 00:49:17+00:00,negative,pertama kali ditemukan tahun 1958 state serum institute copenhagen denmark ada kasus mirip cacar diderita sekelompok kera penelitian laboratorium kemudian cacar dinamakan monkey pox atahu cacar monyet
2022-11-08 06:26:24+00:00,positive,indonesia mengirim bantuan kondom gratis para gay terpapar cacar monyet
2022-11-07 11:36:02+00:00,positive,tawan ngga kalo ngga main pantat sori diriset aids sama cacar monyet padahal pake oengaman lagian lubang taik ngga lah hahaha
2022-10-31 02:03:33+00:00,positive,hahahaha ngapain kena cacar monyet mainnya bersih kok elu beneran tolol sih even hiv disebut penyakit kutukan kaum homo aja gak semua homo kena banyak kena ibu tuh suaminya suka jajan lonte wkwkwk
2022-10-29 13:17:21+00:00,negative,sama aja cacar monyet monkey pox terserah dokter mana igd sekalian aja biar langsung disuruh test lab lokasi
2022-10-29 12:59:03+00:00,negative,sorry nih bukannya monkey pox bahasa inggrisnya cacar monyet yah
2022-10-27 10:00:54+00:00,positive,seriously kemaren jogja cacar monyet bandung tbtb hiv semarang ini beruntung banget nih meulidya
2022-10-23 17:56:19+00:00,positive,ponaan orang sulung full imunisasi pas asamaa samapai skrg usia 17th ke2 imunisasi dasar samapai usia bln aja mudah demam batuk pilek samapai skrg thn habis vaksin covid pfizer mkin mudah sakit amp kena cacar monyet ke3 imunisasi alhamdulillah lebih sehat
2022-10-21 19:48:40+00:00,positive,euww gay berak sure bersepah harap insaf cepat2 virus cacar monyet hinggap kat badan
2022-10-19 13:29:08+00:00,negative,covid hepatitis akut cacar monyet sekarang gagal ginjal akut masa kudu ngekepin bocil rumah mulu lahir ampe sekarang
2022-10-17 16:43:33+00:00,positive,monkey pox spread through physical contact unless you wear condom for all you body then say goodbye better not though cacar monyet menular melalui kontak fisik kamu pake kondom semua bagian tubuh tetep kena emang paling bener ngews
2022-10-12 10:27:45+00:00,positive,muak aja gitu kayak selesai covid cacar monyet cacar monyet berhasil cuma nular golongan msama terus sekarang isunya resesi beneran mau bikin new world order ngga sih kayaknya
2022-10-10 13:40:17+00:00,negative,cacar monyet
2022-10-05 13:51:50+00:00,positive,malu soalnya the real cacar monyet
2022-10-04 10:58:55+00:00,positive,doc dah ambik sample darah darah semua clean doc assume chicken pox campak cacar air bukan doc cuma cakap sejenis virus cacar bukan cacar monyet doakan bangah cepat sembuh okay
2022-09-28 14:07:38+00:00,negative,adek kena cacar monyet badannya jadi cemong cemong kasian
2022-09-26 14:21:28+00:00,negative,limfodenopati kan common reaction any type infection jadi apa aja cuma cacar monyet
2022-09-26 11:52:24+00:00,positive,akhirnya elon normal gak jadi bromance akoh kalo ketemu bromance akoh berpikir orang pasti temennya monyet pembawa virus cacar monyet
2022-09-23 23:42:04+00:00,positive,cacar monyet sempat merebak kali ada flu tomat ntzn ready
2022-09-21 12:05:21+00:00,positive,mba elea coba cek dokter sepertinya kena gejala cacar monyet
2022-09-20 13:25:33+00:00,negative,monkey pox cacar monyet ituu
2022-09-20 09:14:52+00:00,positive,ridho21 udh main dah kena cacar monyet
2022-09-19 04:18:52+00:00,negative,lula caper kena cacar monyet kayaknya apa idolnya ada job buat dihype sampe bisa luangin waktu bikin tempat hate speech beberapa idol wkwkwkw
2022-09-18 05:01:38+00:00,negative,negara bagian california umumkan adanya kasus kematian pertama akibat cacar monyet kota los angeles beberapa hari lalu amerika serikat perketat syarat masuk warga negara asing wilayahnya terutama negara endemik monkey pox kongo inggris
2022-09-17 15:24:43+00:00,positive,aku jelasin perbedaan beli online sama toko fisik apa krn familiar banget ama shopi tokped bahkan topik ttg cacar monyet simply anak denger apa aku orang2 sekitarnya bahas watch words parentsss
2022-09-16 08:48:40+00:00,positive,ini tentunya membuat masyarakat dunia bersikap lebih aware interaksi sosial adanya pandemi covid lalu apa aja sih gejala bagaimana cara mencegah penularan virus monkeypox cacarmonyet monkeypox asuransijiwa pahamiperlindunganmu
2022-09-15 09:39:20+00:00,positive,semangat kak vaksin cacar monyet udah menanti
2022-09-14 06:43:26+00:00,negative,menyampaikan penularan wabah penyakit lainnya cacar monyet atahu monkey pox diindikasi mulai masuk indonesia
2022-09-14 01:59:29+00:00,negative,manusia banyak monyet cacar monyet banyak kata seseorang tingkat stress minimal sedunia
2022-09-13 14:36:49+00:00,positive,krl bapak2 kulitnya jendol gitu udah negative thinking kalo cacar monyet sampe pelototin tangan sampe berapa menit baru sadar kalo kutil semoga bapaknya risi tangannya liatin
