,Datetime,Text,User_id,Username,clean_text,label
0,2022-12-30 13:07:50+00:00,"Ada berita cacar monyet, keponakanku ""emang kenapa ma? Cacare kaya monyet?"" 😭😭😭👎🏻",1608812103691010048,cherry9621,Ada berita cacar monyet keponakanku emang kenapa Cacare kaya monyet,neutral
1,2022-12-29 13:15:42+00:00,@cinema21 kalian semua emang sialan. Saya baru libur pengen ajak ibu nonton Film Whitney malah udah tutup layar demi film setan ga faedah. Ibu saya kecewa berat ampe ngediemin saya padahal mau gimana sya baru libur. Tak Sumpahin kalian semua kena cacar monyet,1608451696379953152,baygames1136,kalian semua emang sialan Saya baru libur pengen ajak ibu nonton Film Whitney malah udah tutup layar demi film setan faedah Ibu saya kecewa berat ampe ngediemin saya padahal mau gimana sya baru libur Tak Sumpahin kalian semua kena cacar monyet,neutral
2,2022-12-29 12:47:43+00:00,"dicafe temen pada kena cacar monyet mau takut nti takut menyerang ke diri sendiri, hah bismillah aja..",1608444654286155776,machalattepew,dicafe temen pada kena cacar monyet mau takut nti takut menyerang diri sendiri hah bismillah aja,neutral
9,2022-12-26 07:38:24+00:00,"@ndagels aduh sama kaya motor gw, keknya kena cacar monyet deh, bahaya harus di rawat ituuu",1607279649792593920,haisalaja,aduh sama kaya motor keknya kena cacar monyet deh bahaya harus rawat ituuu,neutral
10,2022-12-25 13:07:11+00:00,@ndagels cacar monyet,1607000002660036613,funkiestgurl,cacar monyet,neutral
11,2022-12-25 02:10:45+00:00,@ndagels Cacar monyet kak,1606834804389216257,produknyamak,Cacar monyet kak,neutral
13,2022-12-25 01:44:02+00:00,@ndagels Motornya kaya kena cacar monyet,1606828081758756866,nadilaw0,Motornya kaya kena cacar monyet,neutral
14,2022-12-24 22:30:44+00:00,Cacar monyet,1606779433771503617,advmandala,Cacar monyet,neutral
16,2022-12-24 15:15:28+00:00,@cipa_cups cacar monyet dik,1606669898243272704,lolyloopss,cups cacar monyet dik,neutral
18,2022-12-24 12:57:19+00:00,@ndagels Cacar monyet,1606635128763346945,halajulqulub,Cacar monyet,neutral
20,2022-12-24 09:38:31+00:00,@no0tUrs cacar monyet,1606585102196445187,flyyindtchman,cacar monyet,neutral
23,2022-12-22 06:50:04+00:00,@ardixprstyo kenek cacar monyet ta di? (hanya bertanya) 🙏🏼,1605817932923031552,husentrl,kenek cacar monyet hanya bertanya,neutral
24,2022-12-21 15:01:43+00:00,"sp pun yg baca twit ini,*ketahuan* semoga tangan kalian copot satu, pantat nya cacar monyet",1605579274471313408,ibxiwnzjsnzn,pun baca twit ini ketahuan semoga tangan kalian copot satu pantat nya cacar monyet,neutral
25,2022-12-21 00:23:14+00:00,"Subtitle Indonesia:
1/ Dengan kita dapat mengakhiri pandemi covid-19 maka pandemi yang akan muncul berikutnya dapat diantisipasi. 
Ebola dapat diantisipasi, cacar monyet dapat diantisipasi, dsb.",1605358195807248384,HendriSupradi5,Subtitle Indonesia Dengan kita dapat mengakhiri pandemi covid maka pandemi yang akan muncul berikutnya dapat diantisipasi Ebola dapat diantisipasi cacar monyet dapat diantisipasi dsb,neutral
26,2022-12-20 09:12:36+00:00,@kedeppan @skiddous ngasi tau pala lu dari tadi sok edgy koar koar kaya orang kena cacar monyet,1605129025172557824,gavdent,ngasi tau pala dari tadi sok edgy koar koar kaya orang kena cacar monyet,negative
27,2022-12-20 08:42:22+00:00,"@warpatkuy @kedeppan sumpah dia sendiri out of context tapi tetap pengen keliatan edgy jatohnya kek orang tolol ga heran sih nama eximer aja udah kaya cacar monyet, gua maklumi dah",1605121418877800450,gavdent,sumpah dia sendiri out context tapi tetap pengen keliatan edgy jatohnya kek orang tolol heran sih nama eximer aja udah kaya cacar monyet gua maklumi dah,negative
28,2022-12-20 08:34:01+00:00,@warpatkuy @kedeppan nama eximer kaya nama penyakit aja kirain gua varian baru cacar monyet,1605119317992824832,gavdent,nama eximer kaya nama penyakit aja kirain gua varian baru cacar monyet,neutral
31,2022-12-16 16:04:50+00:00,@mas_prasetiyo Proyek baru setelah cacar monyet gagal di-notice masyarakat negara² mayoritas muslim hehehe,1603783217634738177,AZHARFRS,prasetiyo Proyek baru setelah cacar monyet gagal notice masyarakat negara mayoritas muslim hehehe,neutral
32,2022-12-16 11:26:14+00:00,@detikcom Baru aja kelar cacar monyet ini udh flu unta nanti habis itu cacar kucing,1603713104449540097,DianFebriana45,Baru aja kelar cacar monyet ini udh flu unta nanti habis itu cacar kucing,neutral
33,2022-12-16 06:29:12+00:00,Korona vs cacar monyet,1603638352343072768,WodkaKalt,Korona cacar monyet,neutral
34,2022-12-15 16:57:03+00:00,@rajapagi_ @infotwitwor_ Diam lu cacar monyet,1603433969076563968,Paman_Unyu,Diam cacar monyet,neutral
39,2022-12-13 08:13:34+00:00,"@ProtectorMasker 10 + 10 = 20
5 + 5 = 10
10 : 5 = 2

Yuk ikutan juga
@Ronyklt 
@hryt_riaa 
@Mancah_ 

#WingscareProtector
#BersamaSalingJaga
#maskerearloop
#CacarMonyet",1602577456514617344,eries_prima,Yuk ikutan juga riaa WingscareProtector BersamaSalingJaga maskerearloop CacarMonyet,neutral
