,Datetime,Text,clean_text,label
0,2022-12-30 13:07:50+00:00,"Ada berita cacar monyet, keponakanku ""emang kenapa ma? Cacare kaya monyet?"" 😭😭😭👎🏻",Ada berita cacar monyet keponakanku emang kenapa Cacare kaya monyet,neutral
1,2022-12-29 13:15:42+00:00,@cinema21 kalian semua emang sialan. Saya baru libur pengen ajak ibu nonton Film Whitney malah udah tutup layar demi film setan ga faedah. Ibu saya kecewa berat ampe ngediemin saya padahal mau gimana sya baru libur. Tak Sumpahin kalian semua kena cacar monyet,kalian semua emang sialan Saya baru libur pengen ajak ibu nonton Film Whitney malah udah tutup layar demi film setan faedah Ibu saya kecewa berat ampe ngediemin saya padahal mau gimana sya baru libur Tak Sumpahin kalian semua kena cacar monyet,neutral
2,2022-12-29 12:47:43+00:00,"dicafe temen pada kena cacar monyet mau takut nti takut menyerang ke diri sendiri, hah bismillah aja..",dicafe temen pada kena cacar monyet mau takut nti takut menyerang diri sendiri hah bismillah aja,neutral
5,2022-12-28 03:43:01+00:00,@rlgxg itu mera mera kena cacar monyet y?,itu mera mera kena cacar monyet,neutral
10,2022-12-26 07:38:24+00:00,"@ndagels aduh sama kaya motor gw, keknya kena cacar monyet deh, bahaya harus di rawat ituuu",aduh sama kaya motor keknya kena cacar monyet deh bahaya harus rawat ituuu,neutral
11,2022-12-25 13:07:11+00:00,@ndagels cacar monyet,cacar monyet,neutral
12,2022-12-25 02:10:45+00:00,@ndagels Cacar monyet kak,Cacar monyet kak,neutral
14,2022-12-25 01:44:02+00:00,@ndagels Motornya kaya kena cacar monyet,Motornya kaya kena cacar monyet,neutral
15,2022-12-24 22:30:44+00:00,Cacar monyet,Cacar monyet,neutral
17,2022-12-24 15:15:28+00:00,@cipa_cups cacar monyet dik,cups cacar monyet dik,neutral
19,2022-12-24 12:57:19+00:00,@ndagels Cacar monyet,Cacar monyet,neutral
21,2022-12-24 09:38:31+00:00,@no0tUrs cacar monyet,cacar monyet,neutral
24,2022-12-22 06:50:04+00:00,@ardixprstyo kenek cacar monyet ta di? (hanya bertanya) 🙏🏼,kenek cacar monyet hanya bertanya,neutral
25,2022-12-21 15:01:43+00:00,"sp pun yg baca twit ini,*ketahuan* semoga tangan kalian copot satu, pantat nya cacar monyet",pun baca twit ini ketahuan semoga tangan kalian copot satu pantat nya cacar monyet,neutral
26,2022-12-21 00:23:14+00:00,"Subtitle Indonesia:
1/ Dengan kita dapat mengakhiri pandemi covid-19 maka pandemi yang akan muncul berikutnya dapat diantisipasi. 
Ebola dapat diantisipasi, cacar monyet dapat diantisipasi, dsb.",Subtitle Indonesia Dengan kita dapat mengakhiri pandemi covid maka pandemi yang akan muncul berikutnya dapat diantisipasi Ebola dapat diantisipasi cacar monyet dapat diantisipasi dsb,neutral
27,2022-12-20 09:12:36+00:00,@kedeppan @skiddous ngasi tau pala lu dari tadi sok edgy koar koar kaya orang kena cacar monyet,ngasi tau pala dari tadi sok edgy koar koar kaya orang kena cacar monyet,negative
28,2022-12-20 08:42:22+00:00,"@warpatkuy @kedeppan sumpah dia sendiri out of context tapi tetap pengen keliatan edgy jatohnya kek orang tolol ga heran sih nama eximer aja udah kaya cacar monyet, gua maklumi dah",sumpah dia sendiri out context tapi tetap pengen keliatan edgy jatohnya kek orang tolol heran sih nama eximer aja udah kaya cacar monyet gua maklumi dah,negative
29,2022-12-20 08:34:01+00:00,@warpatkuy @kedeppan nama eximer kaya nama penyakit aja kirain gua varian baru cacar monyet,nama eximer kaya nama penyakit aja kirain gua varian baru cacar monyet,neutral
32,2022-12-16 16:04:50+00:00,@mas_prasetiyo Proyek baru setelah cacar monyet gagal di-notice masyarakat negara² mayoritas muslim hehehe,prasetiyo Proyek baru setelah cacar monyet gagal notice masyarakat negara mayoritas muslim hehehe,neutral
33,2022-12-16 13:26:28+00:00,"@AREAJULID :((( , temanku gangguan jiwa sih engga ya, tapi kena cacar monyet @banggabetawi",temanku gangguan jiwa sih engga tapi kena cacar monyet,neutral
34,2022-12-16 11:26:14+00:00,@detikcom Baru aja kelar cacar monyet ini udh flu unta nanti habis itu cacar kucing,Baru aja kelar cacar monyet ini udh flu unta nanti habis itu cacar kucing,neutral
35,2022-12-16 06:29:12+00:00,Korona vs cacar monyet,Korona cacar monyet,neutral
36,2022-12-15 16:57:03+00:00,@rajapagi_ @infotwitwor_ Diam lu cacar monyet,Diam cacar monyet,neutral
