,Datetime,clean_text,label
0,2022-12-30 13:07:50+00:00,Ada berita cacar monyet keponakanku emang kenapa Cacare kaya monyet,neutral
1,2022-12-29 13:15:42+00:00,kalian semua emang sialan Saya baru libur pengen ajak ibu nonton Film Whitney malah udah tutup layar demi film setan faedah Ibu saya kecewa berat ampe ngediemin saya padahal mau gimana sya baru libur Tak Sumpahin kalian semua kena cacar monyet,neutral
2,2022-12-29 12:47:43+00:00,dicafe temen pada kena cacar monyet mau takut nti takut menyerang diri sendiri hah bismillah aja,neutral
5,2022-12-28 03:43:01+00:00,itu mera mera kena cacar monyet,neutral
10,2022-12-26 07:38:24+00:00,aduh sama kaya motor keknya kena cacar monyet deh bahaya harus rawat ituuu,neutral
11,2022-12-25 13:07:11+00:00,cacar monyet,neutral
12,2022-12-25 02:10:45+00:00,Cacar monyet kak,neutral
14,2022-12-25 01:44:02+00:00,Motornya kaya kena cacar monyet,neutral
15,2022-12-24 22:30:44+00:00,Cacar monyet,neutral
17,2022-12-24 15:15:28+00:00,cups cacar monyet dik,neutral
19,2022-12-24 12:57:19+00:00,Cacar monyet,neutral
21,2022-12-24 09:38:31+00:00,cacar monyet,neutral
24,2022-12-22 06:50:04+00:00,kenek cacar monyet hanya bertanya,neutral
25,2022-12-21 15:01:43+00:00,pun baca twit ini ketahuan semoga tangan kalian copot satu pantat nya cacar monyet,neutral
26,2022-12-21 00:23:14+00:00,Subtitle Indonesia Dengan kita dapat mengakhiri pandemi covid maka pandemi yang akan muncul berikutnya dapat diantisipasi Ebola dapat diantisipasi cacar monyet dapat diantisipasi dsb,neutral
27,2022-12-20 09:12:36+00:00,ngasi tau pala dari tadi sok edgy koar koar kaya orang kena cacar monyet,negative
28,2022-12-20 08:42:22+00:00,sumpah dia sendiri out context tapi tetap pengen keliatan edgy jatohnya kek orang tolol heran sih nama eximer aja udah kaya cacar monyet gua maklumi dah,negative
29,2022-12-20 08:34:01+00:00,nama eximer kaya nama penyakit aja kirain gua varian baru cacar monyet,neutral
32,2022-12-16 16:04:50+00:00,prasetiyo Proyek baru setelah cacar monyet gagal notice masyarakat negara mayoritas muslim hehehe,neutral
33,2022-12-16 13:26:28+00:00,temanku gangguan jiwa sih engga tapi kena cacar monyet,neutral
34,2022-12-16 11:26:14+00:00,Baru aja kelar cacar monyet ini udh flu unta nanti habis itu cacar kucing,neutral
35,2022-12-16 06:29:12+00:00,Korona cacar monyet,neutral
36,2022-12-15 16:57:03+00:00,Diam cacar monyet,neutral
38,2022-12-14 04:25:20+00:00,Udh kek cukup kemaren grgr makan kelelawar jadi corona trs cacar monyet nanti ada virus apa lagi ini yaallah grgr makan tai,neutral
42,2022-12-13 08:13:34+00:00,Yuk ikutan juga riaa WingscareProtector BersamaSalingJaga maskerearloop CacarMonyet,neutral
43,2022-12-13 07:38:15+00:00,segera ikut WingscareProtector BersamaSalingJaga maskerearloop CacarMonyet,neutral
44,2022-12-13 04:07:05+00:00,Yuk ikut sekarang dan ajak teman temanmu buat ikutan juga BersamaSalingJaga maskerearloop CacarMonyet,neutral
46,2022-12-11 05:24:59+00:00,Dikabarin mba kosan setiabudi ada kena cacar monyet serem bgt,neutral
47,2022-12-10 03:05:35+00:00,cacar monyet,neutral
50,2022-12-08 03:59:35+00:00,Maju AHAHAHHAHAHAHAH Seram kena cacar monyet HIV dan penyakit kelamin lain dianggap maju,neutral
51,2022-12-07 14:33:34+00:00,eaw Salah satunya cacar monyet,neutral
52,2022-12-07 14:24:39+00:00,Cacar monyet katanyaa,neutral
53,2022-12-07 07:44:39+00:00,Cacar monyet,neutral
54,2022-12-05 13:03:24+00:00,Cacar monyet perasaan,neutral
55,2022-12-05 05:14:24+00:00,ADUH MONYET PAS SISA hari AJE PAKE CACAR SGALA BABI,neutral
56,2022-12-05 03:07:09+00:00,ujan badai gempa bumi tsunami tornado covid cacar monyet virus zombie pun bakal terjang demi nnton avatar,neutral
57,2022-12-05 01:06:58+00:00,Masih nanti siang periksa dokternya cuman semoga aja engga bener cacar monyet,neutral
58,2022-12-04 23:05:49+00:00,wonda Cacar monyet itu apa,neutral
59,2022-12-04 11:19:49+00:00,Ngeri kena cacar monyet kalo abis sun,neutral
62,2022-12-04 00:17:31+00:00,Adhyatomo Apalagi monyet virus cacar,neutral
63,2022-12-03 12:10:29+00:00,kuda ayam bebek lele sate kuda sate ayam bebek goreng pecel lele burung babi monyet flu burung flu babi cacar monyet lembu,neutral
64,2022-12-03 10:34:36+00:00,cacar monyet pantes belakangan ini kek monyet,neutral
65,2022-12-02 13:07:01+00:00,Ketika kanker anus menghinggapi ketika HIV aids menggerogoti ketika cacar monyet memutus bagian bagian tubuh ketika borok luka selebar badan gak sembuh sembuh percayalah tak ada aktivis HAM mensupport you live wrong and die suffer,negative
67,2022-12-02 10:02:23+00:00,dipercayai Anwar sedang memilih TPM berwajah jambu dan tiada penyakit cacar monyet,neutral
68,2022-12-02 03:09:39+00:00,lebih baik meninggoy dari pada kena cacar monyet,neutral
71,2022-12-01 03:22:18+00:00,takut cacar monyet,neutral
78,2022-11-30 11:49:24+00:00,kmrn2 cacar monyet skrg virus zombi menghadeuh,neutral
85,2022-11-30 05:26:28+00:00,aku pernahnya cacar monyet sekitar minggu dan susah bgt ngilangin bekasnya,neutral
94,2022-11-30 02:29:39+00:00,Ganti drcacar monyet cacar homo,neutral
